id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
4456,Chris Wood,31,1797,14,13.364272002130749,1,1.987032251432538,48,22,0,0,F S,Nottingham Forest,14,13.364272002130749,15.345352198928596,0.9163662036880852
6456,Callum Hudson-Odoi,29,1844,8,3.01959465444088,1,3.0873287972062826,38,36,0,0,F M S,Nottingham Forest,8,3.01959465444088,12.357455093413591,6.948451370000839
7814,Taiwo Awoniyi,20,1066,6,5.060870740562677,3,1.6294344998896122,22,10,2,0,F S,Nottingham Forest,6,5.060870740562677,6.060688458383083,1.5500111253932118
6857,Morgan Gibbs-White,37,3177,5,6.069625414907932,10,9.522167706862092,71,74,9,0,F M S,Nottingham Forest,4,5.308456636965275,18.27287240326405,9.268674820661545
9524,Anthony Elanga,36,2430,5,6.7731207851320505,9,7.090984374284744,54,33,1,0,F M S,Nottingham Forest,5,6.7731207851320505,17.626320507377386,5.61586544662714
10760,Brennan Johnson,35,2350,5,12.170278270728886,10,7.638319082558155,53,46,3,0,F M S,Nottingham Forest,5,12.170278270728886,21.61685962975025,3.084777120500803
6850,Willy Boly,20,1461,2,1.4704081807285547,1,1.3754375465214252,14,8,1,1,D S,Nottingham Forest,2,1.4704081807285547,4.124650048092008,3.0947159733623266
8252,Nicolás Domínguez,26,1543,2,1.7021510526537895,2,0.9089695196598768,22,10,4,0,M S,Nottingham Forest,2,1.7021510526537895,6.102301966398954,3.8425266593694687
11317,Danilo,29,1799,2,1.6652069194242358,2,1.5294003784656525,23,20,4,0,F M S,Nottingham Forest,2,1.6652069194242358,10.227419295348229,7.997594775632024
725,Ola Aina,22,1730,1,0.2965008215978741,1,0.7307851929217577,11,11,3,0,D S,Nottingham Forest,1,0.2965008215978741,6.002222128212452,5.237075835466385
5989,Moussa Niakhate,21,1446,1,1.166658602654934,0,0.0978621523827314,5,3,3,1,D S,Nottingham Forest,1,1.166658602654934,5.420620266348124,5.337864320725203
6088,Orel Mangala,20,1599,1,0.8923602215945721,0,0.2867993172258138,10,6,6,0,M S,Nottingham Forest,1,0.8923602215945721,3.66855537891388,2.841583462432027
10758,Harry Toffolo,23,1439,1,1.4097881969064474,3,1.481477415189147,8,18,3,0,D S,Nottingham Forest,1,1.4097881969064474,4.174264665693045,2.7104875817894936
11003,Ryan Yates,35,1967,1,2.6223334167152643,1,1.0064595751464367,32,7,6,0,M S,Nottingham Forest,1,2.6223334167152643,7.967897219583392,5.582980010658503
375,Odisseas Vlachodimos,5,450,0,0.0,0,0.0326653309166431,0,1,0,0,GK,Nottingham Forest,0,0.0,1.0999388750642538,1.0672735627740622
484,Divock Origi,20,557,0,1.545853216201067,1,1.5920869708061218,14,7,1,0,F M S,Nottingham Forest,0,1.545853216201067,4.103459514677525,1.0764283947646618
532,Cheikhou Kouyaté,12,199,0,0.4007705431431532,0,0.0558466427028179,5,1,2,0,M S,Nottingham Forest,0,0.4007705431431532,0.8718480132520199,0.4558485820889473
3600,Serge Aurier,12,843,0,0.2042676210403442,2,0.6003383956849575,6,3,2,0,D S,Nottingham Forest,0,0.2042676210403442,2.74189380183816,2.1127189621329308
5722,Ibrahim Sangare,17,1053,0,0.8340437468141317,0,0.3507998380810022,8,7,6,0,M S,Nottingham Forest,0,0.8340437468141317,4.501044608652592,3.5168560035526752
6903,Matz Sels,16,1440,0,0.0,0,0.0696526691317558,0,1,1,0,GK,Nottingham Forest,0,0.0,0.8204675614833832,0.7508148960769176
7921,Felipe,7,369,0,0.17141835950315,0,0.0380167607218027,3,2,3,0,D S,Nottingham Forest,0,0.17141835950315,1.4830044843256474,1.4425167199224234
8191,Giovanni Reyna,9,206,0,0.2087921611964702,1,0.3924582097679376,5,6,0,0,M S,Nottingham Forest,0,0.2087921611964702,1.2173451017588377,0.8090423513203859
8204,Neco Williams,26,1622,0,0.934250148013234,1,1.1115016266703606,15,11,4,0,D M S,Nottingham Forest,0,0.934250148013234,4.656272342428565,3.0113450456410646
9691,Nuno Tavares,8,447,0,0.1731664137914776,0,0.2493439316749572,7,2,2,0,D S,Nottingham Forest,0,0.1731664137914776,0.6703841388225555,0.3541552796959877
9833,Andrew Omobamidele,11,771,0,0.0812814310193061,0,0.0772956404834985,1,2,2,0,D S,Nottingham Forest,0,0.0812814310193061,1.927911488339305,1.8260405641049149
9897,Gonzalo Montiel,14,809,0,0.1195196099579334,2,1.7303651086986065,3,9,5,0,D S,Nottingham Forest,0,0.1195196099579334,4.5273467022925615,3.0314525980502367
10700,Matt Turner,17,1530,0,0.0,0,0.0,0,0,1,0,GK,Nottingham Forest,0,0.0,1.997135661542416,1.997135661542416
10756,Joe Worrall,7,440,0,0.0814925581216812,0,0.1285788267850875,2,2,0,1,D S,Nottingham Forest,0,0.0814925581216812,0.3787533640861511,0.3787533640861511
10757,Scott McKenna,5,420,0,0.1700837537646293,0,0.1904423832893371,2,3,0,0,D,Nottingham Forest,0,0.1700837537646293,0.285503588616848,0.1808048486709594
11808,Andrey Santos,1,3,0,0.0721131637692451,0,0.0,2,0,0,0,S,Nottingham Forest,0,0.0721131637692451,0.0278007220476865,0.0278007220476865
12034,Brandon Aguilera,1,1,0,0.0,0,0.0,0,0,0,0,S,Nottingham Forest,0,0.0,0.0,0.0
12123,Murillo,32,2813,0,1.6653295904397964,2,1.2170642092823982,17,8,5,0,D,Nottingham Forest,0,1.6653295904397964,8.485122511163354,7.43321305885911
12418,Rodrigo Ribeiro,4,11,0,0.0,0,0.0,0,0,0,0,S,Nottingham Forest,0,0.0,0.0,0.0
